number,value_accuracy,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_splitter,state
0,0.7696758028105757,2024-10-10 19:37:59.967572,2024-10-10 19:38:00.136365,0 days 00:00:00.168793,entropy,10,10,20,best,COMPLETE
1,0.7696758028105757,2024-10-10 19:37:59.973163,2024-10-10 19:38:00.127218,0 days 00:00:00.154055,gini,8,4,8,random,COMPLETE
2,0.7696758028105757,2024-10-10 19:37:59.981944,2024-10-10 19:38:00.192252,0 days 00:00:00.210308,gini,9,6,26,random,COMPLETE
3,0.7696758028105757,2024-10-10 19:37:59.988452,2024-10-10 19:38:00.293547,0 days 00:00:00.305095,entropy,4,27,28,random,COMPLETE
4,0.7865534399413775,2024-10-10 19:37:59.996017,2024-10-10 19:38:00.157036,0 days 00:00:00.161019,gini,1,12,10,best,COMPLETE
5,0.7696758028105757,2024-10-10 19:38:00.011562,2024-10-10 19:38:00.255379,0 days 00:00:00.243817,entropy,9,23,23,best,COMPLETE
6,0.7696758028105757,2024-10-10 19:38:00.061559,2024-10-10 19:38:00.250052,0 days 00:00:00.188493,entropy,10,4,9,best,COMPLETE
7,0.7696758028105757,2024-10-10 19:38:00.076201,2024-10-10 19:38:00.242556,0 days 00:00:00.166355,gini,6,32,10,best,COMPLETE
8,0.7696758028105757,2024-10-10 19:38:00.129685,2024-10-10 19:38:00.357411,0 days 00:00:00.227726,gini,4,12,13,random,COMPLETE
9,0.7865534399413775,2024-10-10 19:38:00.144728,2024-10-10 19:38:00.459643,0 days 00:00:00.314915,gini,1,23,14,best,COMPLETE
10,0.7696758028105757,2024-10-10 19:38:00.160649,2024-10-10 19:38:00.449682,0 days 00:00:00.289033,gini,8,21,22,best,COMPLETE
11,0.7696758028105757,2024-10-10 19:38:00.199487,2024-10-10 19:38:00.533404,0 days 00:00:00.333917,gini,7,20,9,best,COMPLETE
12,0.7696758028105757,2024-10-10 19:38:00.233221,2024-10-10 19:38:00.441179,0 days 00:00:00.207958,gini,10,27,16,best,COMPLETE
13,0.7696758028105757,2024-10-10 19:38:00.265185,2024-10-10 19:38:00.592042,0 days 00:00:00.326857,gini,6,5,12,random,COMPLETE
14,0.7696758028105757,2024-10-10 19:38:00.268834,2024-10-10 19:38:00.622591,0 days 00:00:00.353757,gini,4,13,5,best,COMPLETE
15,0.7696758028105757,2024-10-10 19:38:00.273140,2024-10-10 19:38:00.568329,0 days 00:00:00.295189,gini,8,11,17,random,COMPLETE
16,0.7696758028105757,2024-10-10 19:38:00.280824,2024-10-10 19:38:00.519443,0 days 00:00:00.238619,gini,6,15,25,best,COMPLETE
17,0.7696758028105757,2024-10-10 19:38:00.300966,2024-10-10 19:38:00.725063,0 days 00:00:00.424097,entropy,4,11,9,random,COMPLETE
18,0.7696758028105757,2024-10-10 19:38:00.318988,2024-10-10 19:38:00.586480,0 days 00:00:00.267492,gini,6,31,2,best,COMPLETE
19,0.7865534399413775,2024-10-10 19:38:00.351167,2024-10-10 19:38:00.484612,0 days 00:00:00.133445,gini,1,2,29,best,COMPLETE
20,0.7696758028105757,2024-10-10 19:38:00.409968,2024-10-10 19:38:00.640590,0 days 00:00:00.230622,gini,4,13,6,best,COMPLETE
21,0.7696758028105757,2024-10-10 19:38:00.422563,2024-10-10 19:38:00.597427,0 days 00:00:00.174864,entropy,3,3,20,best,COMPLETE
22,0.7865534399413775,2024-10-10 19:38:00.563085,2024-10-10 19:38:00.912451,0 days 00:00:00.349366,gini,1,17,2,best,COMPLETE
23,0.7865534399413775,2024-10-10 19:38:00.587292,2024-10-10 19:38:00.738066,0 days 00:00:00.150774,gini,1,18,2,best,COMPLETE
24,0.7865534399413775,2024-10-10 19:38:00.619235,2024-10-10 19:38:00.873512,0 days 00:00:00.254277,gini,1,17,4,best,COMPLETE
25,0.7865534399413775,2024-10-10 19:38:00.686456,2024-10-10 19:38:00.819552,0 days 00:00:00.133096,gini,1,1,32,best,COMPLETE
26,0.7865534399413775,2024-10-10 19:38:00.703747,2024-10-10 19:38:00.894984,0 days 00:00:00.191237,gini,1,18,32,best,COMPLETE
27,0.7865534399413775,2024-10-10 19:38:00.755696,2024-10-10 19:38:01.004331,0 days 00:00:00.248635,gini,1,1,31,best,COMPLETE
28,0.7865534399413775,2024-10-10 19:38:00.794626,2024-10-10 19:38:01.049566,0 days 00:00:00.254940,gini,1,1,31,best,COMPLETE
29,0.7696758028105757,2024-10-10 19:38:00.890951,2024-10-10 19:38:01.132192,0 days 00:00:00.241241,gini,2,7,15,best,COMPLETE
30,0.7696758028105757,2024-10-10 19:38:00.901380,2024-10-10 19:38:01.289246,0 days 00:00:00.387866,gini,2,7,14,best,COMPLETE
31,0.7696758028105757,2024-10-10 19:38:00.919773,2024-10-10 19:38:01.350366,0 days 00:00:00.430593,gini,2,8,15,best,COMPLETE
32,0.7696758028105757,2024-10-10 19:38:00.926226,2024-10-10 19:38:01.450564,0 days 00:00:00.524338,gini,2,7,15,best,COMPLETE
33,0.7696758028105757,2024-10-10 19:38:00.940129,2024-10-10 19:38:01.318739,0 days 00:00:00.378610,gini,2,8,15,best,COMPLETE
34,0.7696758028105757,2024-10-10 19:38:00.958462,2024-10-10 19:38:01.578886,0 days 00:00:00.620424,gini,2,8,14,best,COMPLETE
