number,value_accuracy,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_splitter,state
35,0.7696758028105757,2024-10-10 19:38:00.962398,2024-10-10 19:38:01.628863,0 days 00:00:00.666465,gini,2,8,15,best,COMPLETE
36,0.7696758028105757,2024-10-10 19:38:00.970505,2024-10-10 19:38:01.817966,0 days 00:00:00.847461,gini,2,8,16,best,COMPLETE
37,0.7696758028105757,2024-10-10 19:38:01.022415,2024-10-10 19:38:01.536793,0 days 00:00:00.514378,gini,2,8,15,best,COMPLETE
38,0.7696758028105757,2024-10-10 19:38:01.055894,2024-10-10 19:38:01.886638,0 days 00:00:00.830744,entropy,2,8,15,best,COMPLETE
39,0.7696758028105757,2024-10-10 19:38:01.060594,2024-10-10 19:38:01.680929,0 days 00:00:00.620335,entropy,2,9,16,best,COMPLETE
40,0.7696758028105757,2024-10-10 19:38:01.062405,2024-10-10 19:38:01.462695,0 days 00:00:00.400290,entropy,2,8,16,best,COMPLETE
41,0.7696758028105757,2024-10-10 19:38:01.071381,2024-10-10 19:38:01.728428,0 days 00:00:00.657047,entropy,2,9,16,best,COMPLETE
42,0.7696758028105757,2024-10-10 19:38:01.088952,2024-10-10 19:38:01.825081,0 days 00:00:00.736129,entropy,2,8,16,best,COMPLETE
43,0.7696758028105757,2024-10-10 19:38:01.116115,2024-10-10 19:38:01.778279,0 days 00:00:00.662164,entropy,2,8,15,best,COMPLETE
44,0.7696758028105757,2024-10-10 19:38:01.134960,2024-10-10 19:38:01.906436,0 days 00:00:00.771476,entropy,2,8,20,best,COMPLETE
45,0.7696758028105757,2024-10-10 19:38:01.152104,2024-10-10 19:38:01.828335,0 days 00:00:00.676231,entropy,2,8,13,best,COMPLETE
46,0.7696758028105757,2024-10-10 19:38:01.379438,2024-10-10 19:38:02.026816,0 days 00:00:00.647378,gini,3,24,19,best,COMPLETE
47,0.7696758028105757,2024-10-10 19:38:01.423727,2024-10-10 19:38:02.079062,0 days 00:00:00.655335,gini,3,24,18,best,COMPLETE
48,0.7696758028105757,2024-10-10 19:38:01.475362,2024-10-10 19:38:02.217504,0 days 00:00:00.742142,gini,3,15,19,best,COMPLETE
49,0.7696758028105757,2024-10-10 19:38:01.521516,2024-10-10 19:38:02.302125,0 days 00:00:00.780609,gini,3,24,18,best,COMPLETE
50,0.7696758028105757,2024-10-10 19:38:01.534023,2024-10-10 19:38:02.258382,0 days 00:00:00.724359,gini,3,23,11,best,COMPLETE
51,0.7696758028105757,2024-10-10 19:38:01.653946,2024-10-10 19:38:02.486424,0 days 00:00:00.832478,entropy,3,25,19,random,COMPLETE
52,0.7696758028105757,2024-10-10 19:38:01.666707,2024-10-10 19:38:02.360254,0 days 00:00:00.693547,entropy,3,25,19,random,COMPLETE
53,0.7696758028105757,2024-10-10 19:38:01.685619,2024-10-10 19:38:02.371983,0 days 00:00:00.686364,entropy,3,26,12,random,COMPLETE
54,0.7865534399413775,2024-10-10 19:38:01.837867,2024-10-10 19:38:02.573486,0 days 00:00:00.735619,gini,1,24,7,random,COMPLETE
55,0.7696758028105757,2024-10-10 19:38:01.858567,2024-10-10 19:38:02.598345,0 days 00:00:00.739778,gini,3,24,2,random,COMPLETE
56,0.7696758028105757,2024-10-10 19:38:01.862519,2024-10-10 19:38:02.730245,0 days 00:00:00.867726,gini,3,24,2,random,COMPLETE
57,0.7696758028105757,2024-10-10 19:38:01.887624,2024-10-10 19:38:02.433787,0 days 00:00:00.546163,gini,3,23,2,random,COMPLETE
58,0.7696758028105757,2024-10-10 19:38:01.903958,2024-10-10 19:38:02.615904,0 days 00:00:00.711946,gini,3,24,2,random,COMPLETE
59,0.7696758028105757,2024-10-10 19:38:01.921964,2024-10-10 19:38:02.820807,0 days 00:00:00.898843,gini,3,22,2,random,COMPLETE
60,0.7696758028105757,2024-10-10 19:38:01.941081,2024-10-10 19:38:02.846805,0 days 00:00:00.905724,gini,3,24,2,random,COMPLETE
61,0.7696758028105757,2024-10-10 19:38:01.943816,2024-10-10 19:38:02.807940,0 days 00:00:00.864124,gini,3,23,2,random,COMPLETE
62,0.7696758028105757,2024-10-10 19:38:02.068491,2024-10-10 19:38:03.274587,0 days 00:00:01.206096,gini,3,21,2,random,COMPLETE
63,0.7865534399413775,2024-10-10 19:38:02.188355,2024-10-10 19:38:02.923175,0 days 00:00:00.734820,gini,1,20,2,random,COMPLETE
64,0.7865534399413775,2024-10-10 19:38:02.265322,2024-10-10 19:38:03.168212,0 days 00:00:00.902890,gini,1,19,7,random,COMPLETE
65,0.7865534399413775,2024-10-10 19:38:02.384682,2024-10-10 19:38:03.314218,0 days 00:00:00.929536,gini,1,19,3,random,COMPLETE
66,0.7865534399413775,2024-10-10 19:38:02.398726,2024-10-10 19:38:03.060666,0 days 00:00:00.661940,gini,1,20,2,random,COMPLETE
67,0.7865534399413775,2024-10-10 19:38:02.424552,2024-10-10 19:38:03.252807,0 days 00:00:00.828255,gini,1,20,3,random,COMPLETE
68,0.7865534399413775,2024-10-10 19:38:02.465042,2024-10-10 19:38:03.176659,0 days 00:00:00.711617,gini,1,19,4,best,COMPLETE
69,0.7865534399413775,2024-10-10 19:38:02.507925,2024-10-10 19:38:03.327281,0 days 00:00:00.819356,gini,1,20,4,best,COMPLETE
70,0.7865534399413775,2024-10-10 19:38:02.554087,2024-10-10 19:38:03.389395,0 days 00:00:00.835308,gini,1,19,4,best,COMPLETE
71,0.7865534399413775,2024-10-10 19:38:02.638699,2024-10-10 19:38:03.670032,0 days 00:00:01.031333,gini,1,19,4,best,COMPLETE
72,0.7865534399413775,2024-10-10 19:38:02.645008,2024-10-10 19:38:03.475417,0 days 00:00:00.830409,gini,1,19,5,best,COMPLETE
73,0.7865534399413775,2024-10-10 19:38:02.652077,2024-10-10 19:38:03.555639,0 days 00:00:00.903562,gini,1,19,4,best,COMPLETE
74,0.7865534399413775,2024-10-10 19:38:02.829020,2024-10-10 19:38:03.720877,0 days 00:00:00.891857,gini,1,18,4,best,COMPLETE
75,0.7865534399413775,2024-10-10 19:38:02.867928,2024-10-10 19:38:03.725642,0 days 00:00:00.857714,gini,1,19,4,best,COMPLETE
76,0.7865534399413775,2024-10-10 19:38:02.882787,2024-10-10 19:38:03.627316,0 days 00:00:00.744529,gini,1,18,5,best,COMPLETE
77,0.7865534399413775,2024-10-10 19:38:02.909101,2024-10-10 19:38:03.900165,0 days 00:00:00.991064,gini,1,19,4,best,COMPLETE
78,0.7865534399413775,2024-10-10 19:38:02.955080,2024-10-10 19:38:03.817795,0 days 00:00:00.862715,gini,1,17,4,best,COMPLETE
79,0.7865534399413775,2024-10-10 19:38:03.216442,2024-10-10 19:38:04.294145,0 days 00:00:01.077703,gini,1,15,28,best,COMPLETE
80,0.7865534399413775,2024-10-10 19:38:03.288527,2024-10-10 19:38:03.986000,0 days 00:00:00.697473,gini,1,16,28,best,COMPLETE
81,0.7865534399413775,2024-10-10 19:38:03.303299,2024-10-10 19:38:04.052226,0 days 00:00:00.748927,gini,1,16,26,best,COMPLETE
82,0.7696758028105757,2024-10-10 19:38:03.337802,2024-10-10 19:38:04.283985,0 days 00:00:00.946183,gini,5,16,28,best,COMPLETE
83,0.7696758028105757,2024-10-10 19:38:03.348777,2024-10-10 19:38:04.313226,0 days 00:00:00.964449,gini,5,16,26,best,COMPLETE
84,0.7865534399413775,2024-10-10 19:38:03.364451,2024-10-10 19:38:04.080907,0 days 00:00:00.716456,gini,1,16,28,best,COMPLETE
85,0.7865534399413775,2024-10-10 19:38:03.395776,2024-10-10 19:38:04.252835,0 days 00:00:00.857059,gini,1,16,29,best,COMPLETE
86,0.7865534399413775,2024-10-10 19:38:03.430612,2024-10-10 19:38:04.336038,0 days 00:00:00.905426,gini,1,17,32,best,COMPLETE
87,0.7696758028105757,2024-10-10 19:38:03.540076,2024-10-10 19:38:04.392835,0 days 00:00:00.852759,gini,7,16,32,best,COMPLETE
88,0.7696758028105757,2024-10-10 19:38:03.695259,2024-10-10 19:38:04.655393,0 days 00:00:00.960134,gini,7,16,32,best,COMPLETE
89,0.7696758028105757,2024-10-10 19:38:03.730243,2024-10-10 19:38:04.481065,0 days 00:00:00.750822,gini,7,3,29,best,COMPLETE
90,0.7696758028105757,2024-10-10 19:38:03.768031,2024-10-10 19:38:04.679121,0 days 00:00:00.911090,gini,7,16,30,best,COMPLETE
91,0.7696758028105757,2024-10-10 19:38:03.804762,2024-10-10 19:38:04.756970,0 days 00:00:00.952208,gini,5,3,32,best,COMPLETE
92,0.7696758028105757,2024-10-10 19:38:03.824009,2024-10-10 19:38:04.761223,0 days 00:00:00.937214,gini,5,2,32,best,COMPLETE
93,0.7696758028105757,2024-10-10 19:38:03.903733,2024-10-10 19:38:04.864684,0 days 00:00:00.960951,gini,2,2,32,best,COMPLETE
94,0.7696758028105757,2024-10-10 19:38:03.975227,2024-10-10 19:38:04.783864,0 days 00:00:00.808637,gini,9,3,32,best,COMPLETE
95,0.7696758028105757,2024-10-10 19:38:04.082465,2024-10-10 19:38:04.867661,0 days 00:00:00.785196,gini,5,3,32,best,COMPLETE
96,0.7696758028105757,2024-10-10 19:38:04.121339,2024-10-10 19:38:04.822201,0 days 00:00:00.700862,gini,5,1,32,best,COMPLETE
97,0.7696758028105757,2024-10-10 19:38:04.144569,2024-10-10 19:38:04.925943,0 days 00:00:00.781374,gini,7,1,32,best,COMPLETE
98,0.7696758028105757,2024-10-10 19:38:04.330754,2024-10-10 19:38:04.937156,0 days 00:00:00.606402,gini,2,1,32,best,COMPLETE
99,0.7696758028105757,2024-10-10 19:38:04.351640,2024-10-10 19:38:04.920041,0 days 00:00:00.568401,gini,7,1,30,best,COMPLETE
