number,value_accuracy,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_splitter,state
0,0.7738893025564656,2024-10-23 06:55:07.461406,2024-10-23 06:55:07.952814,0 days 00:00:00.491408,entropy,2,23,23,random,COMPLETE
1,0.7893604699263671,2024-10-23 06:55:07.462207,2024-10-23 06:55:07.782458,0 days 00:00:00.320251,entropy,1,15,27,random,COMPLETE
2,0.8160420286257963,2024-10-23 06:55:07.464544,2024-10-23 06:55:07.812605,0 days 00:00:00.348061,entropy,10,5,22,random,COMPLETE
3,0.8132349986408065,2024-10-23 06:55:07.475111,2024-10-23 06:55:07.677558,0 days 00:00:00.202447,entropy,8,15,6,best,COMPLETE
4,0.8061849212258743,2024-10-23 06:55:07.479200,2024-10-23 06:55:07.992275,0 days 00:00:00.513075,entropy,10,4,9,best,COMPLETE
5,0.7893131936318832,2024-10-23 06:55:07.489143,2024-10-23 06:55:07.803871,0 days 00:00:00.314728,gini,6,31,2,random,COMPLETE
6,0.7963514519731943,2024-10-23 06:55:07.500162,2024-10-23 06:55:07.787628,0 days 00:00:00.287466,gini,2,16,4,random,COMPLETE
7,0.8230802869671076,2024-10-23 06:55:07.506818,2024-10-23 06:55:07.791318,0 days 00:00:00.284500,entropy,4,6,18,best,COMPLETE
8,0.7837641385668191,2024-10-23 06:55:07.519675,2024-10-23 06:55:07.876737,0 days 00:00:00.357062,gini,10,2,5,best,COMPLETE
9,0.7738893025564656,2024-10-23 06:55:07.532339,2024-10-23 06:55:07.819239,0 days 00:00:00.286900,entropy,2,28,15,random,COMPLETE
10,0.8047902705385952,2024-10-23 06:55:07.581838,2024-10-23 06:55:08.026672,0 days 00:00:00.444834,entropy,6,16,2,random,COMPLETE
11,0.8244512995071447,2024-10-23 06:55:07.608450,2024-10-23 06:55:07.963245,0 days 00:00:00.354795,entropy,10,6,11,random,COMPLETE
12,0.8076032100603955,2024-10-23 06:55:07.637727,2024-10-23 06:55:07.902632,0 days 00:00:00.264905,gini,9,16,29,random,COMPLETE
13,0.7991643914949945,2024-10-23 06:55:07.662706,2024-10-23 06:55:08.242457,0 days 00:00:00.579751,gini,10,19,3,best,COMPLETE
14,0.8033778912408845,2024-10-23 06:55:07.707485,2024-10-23 06:55:08.030990,0 days 00:00:00.323505,gini,4,26,7,best,COMPLETE
15,0.817442588849886,2024-10-23 06:55:07.718994,2024-10-23 06:55:08.074975,0 days 00:00:00.355981,gini,5,5,2,random,COMPLETE
16,0.7977579217340945,2024-10-23 06:55:07.732647,2024-10-23 06:55:07.961546,0 days 00:00:00.228899,entropy,4,16,2,best,COMPLETE
17,0.8230271011358129,2024-10-23 06:55:07.844504,2024-10-23 06:55:08.193210,0 days 00:00:00.348706,gini,7,5,6,best,COMPLETE
18,0.7963514519731943,2024-10-23 06:55:07.877508,2024-10-23 06:55:08.140083,0 days 00:00:00.262575,gini,2,13,19,random,COMPLETE
19,0.8230625583566761,2024-10-23 06:55:07.976843,2024-10-23 06:55:08.361909,0 days 00:00:00.385066,entropy,6,8,13,best,COMPLETE
20,0.8230625583566761,2024-10-23 06:55:08.009353,2024-10-23 06:55:08.249030,0 days 00:00:00.239677,entropy,6,8,14,best,COMPLETE
21,0.8230625583566761,2024-10-23 06:55:08.077252,2024-10-23 06:55:08.257715,0 days 00:00:00.180463,entropy,7,10,13,best,COMPLETE
22,0.8230625583566761,2024-10-23 06:55:08.130469,2024-10-23 06:55:08.375152,0 days 00:00:00.244683,entropy,7,10,13,best,COMPLETE
23,0.8356971480575351,2024-10-23 06:55:08.195706,2024-10-23 06:55:08.402074,0 days 00:00:00.206368,entropy,4,10,13,best,COMPLETE
24,0.8258932264889077,2024-10-23 06:55:08.280619,2024-10-23 06:55:08.436793,0 days 00:00:00.156174,entropy,4,9,11,best,COMPLETE
25,0.8258932264889077,2024-10-23 06:55:08.286625,2024-10-23 06:55:08.455976,0 days 00:00:00.169351,entropy,4,9,13,best,COMPLETE
26,0.8286825278634661,2024-10-23 06:55:08.394977,2024-10-23 06:55:08.704841,0 days 00:00:00.309864,entropy,4,1,11,best,COMPLETE
27,0.8160065714049333,2024-10-23 06:55:08.410523,2024-10-23 06:55:09.076612,0 days 00:00:00.666089,entropy,4,11,18,best,COMPLETE
28,0.8160065714049333,2024-10-23 06:55:08.427432,2024-10-23 06:55:08.985748,0 days 00:00:00.558316,entropy,4,11,9,best,COMPLETE
29,0.8258873169520973,2024-10-23 06:55:08.445559,2024-10-23 06:55:08.719058,0 days 00:00:00.273499,entropy,3,1,10,best,COMPLETE
30,0.8230743774302969,2024-10-23 06:55:08.476431,2024-10-23 06:55:09.013975,0 days 00:00:00.537544,entropy,3,11,10,best,COMPLETE
31,0.8230743774302969,2024-10-23 06:55:08.509413,2024-10-23 06:55:09.108169,0 days 00:00:00.598756,entropy,3,12,10,best,COMPLETE
32,0.8230743774302969,2024-10-23 06:55:08.548434,2024-10-23 06:55:09.113661,0 days 00:00:00.565227,entropy,3,11,10,best,COMPLETE
33,0.8230743774302969,2024-10-23 06:55:08.566672,2024-10-23 06:55:09.204856,0 days 00:00:00.638184,entropy,3,11,10,best,COMPLETE
34,0.8230743774302969,2024-10-23 06:55:08.611913,2024-10-23 06:55:09.065107,0 days 00:00:00.453194,entropy,3,12,9,best,COMPLETE
35,0.8230743774302969,2024-10-23 06:55:08.631858,2024-10-23 06:55:09.272006,0 days 00:00:00.640148,entropy,3,12,9,best,COMPLETE
36,0.8230743774302969,2024-10-23 06:55:08.650280,2024-10-23 06:55:09.049871,0 days 00:00:00.399591,entropy,3,12,9,best,COMPLETE
37,0.8230743774302969,2024-10-23 06:55:08.699724,2024-10-23 06:55:09.255484,0 days 00:00:00.555760,entropy,3,11,10,best,COMPLETE
38,0.8244749376543866,2024-10-23 06:55:08.720240,2024-10-23 06:55:09.226913,0 days 00:00:00.506673,entropy,5,12,16,best,COMPLETE
39,0.8244749376543866,2024-10-23 06:55:08.762549,2024-10-23 06:55:09.422846,0 days 00:00:00.660297,entropy,5,12,8,best,COMPLETE
40,0.8244749376543866,2024-10-23 06:55:08.896466,2024-10-23 06:55:09.470964,0 days 00:00:00.574498,entropy,5,12,16,best,COMPLETE
41,0.8146355588648961,2024-10-23 06:55:09.039123,2024-10-23 06:55:09.449656,0 days 00:00:00.410533,entropy,5,19,20,best,COMPLETE
42,0.8146355588648961,2024-10-23 06:55:09.073083,2024-10-23 06:55:09.598139,0 days 00:00:00.525056,entropy,5,19,15,best,COMPLETE
43,0.8146355588648961,2024-10-23 06:55:09.131810,2024-10-23 06:55:09.443664,0 days 00:00:00.311854,entropy,5,19,21,best,COMPLETE
44,0.8146355588648961,2024-10-23 06:55:09.252043,2024-10-23 06:55:09.704237,0 days 00:00:00.452194,entropy,5,19,21,best,COMPLETE
45,0.7893604699263671,2024-10-23 06:55:09.262797,2024-10-23 06:55:09.880020,0 days 00:00:00.617223,entropy,1,20,20,best,COMPLETE
46,0.7893604699263671,2024-10-23 06:55:09.304004,2024-10-23 06:55:09.917678,0 days 00:00:00.613674,entropy,1,19,21,best,COMPLETE
47,0.7893604699263671,2024-10-23 06:55:09.333406,2024-10-23 06:55:09.719569,0 days 00:00:00.386163,entropy,1,20,21,best,COMPLETE
48,0.7893604699263671,2024-10-23 06:55:09.462298,2024-10-23 06:55:10.089596,0 days 00:00:00.627298,entropy,1,1,14,best,COMPLETE
49,0.7893604699263671,2024-10-23 06:55:09.477870,2024-10-23 06:55:09.870774,0 days 00:00:00.392904,entropy,1,1,12,best,COMPLETE
50,0.7893604699263671,2024-10-23 06:55:09.535600,2024-10-23 06:55:10.073104,0 days 00:00:00.537504,entropy,1,1,12,best,COMPLETE
51,0.7893604699263671,2024-10-23 06:55:09.606514,2024-10-23 06:55:10.173056,0 days 00:00:00.566542,entropy,1,1,12,best,COMPLETE
52,0.7893604699263671,2024-10-23 06:55:09.613514,2024-10-23 06:55:10.221902,0 days 00:00:00.608388,entropy,1,1,12,best,COMPLETE
53,0.7893604699263671,2024-10-23 06:55:09.636373,2024-10-23 06:55:10.201745,0 days 00:00:00.565372,entropy,1,1,12,best,COMPLETE
54,0.7893604699263671,2024-10-23 06:55:09.655613,2024-10-23 06:55:10.242178,0 days 00:00:00.586565,entropy,1,1,12,best,COMPLETE
55,0.8300949071611767,2024-10-23 06:55:09.762153,2024-10-23 06:55:10.294064,0 days 00:00:00.531911,entropy,4,3,12,best,COMPLETE
56,0.8314954673852664,2024-10-23 06:55:09.798759,2024-10-23 06:55:10.406163,0 days 00:00:00.607404,entropy,4,2,24,best,COMPLETE
57,0.8258932264889077,2024-10-23 06:55:09.848557,2024-10-23 06:55:10.324489,0 days 00:00:00.475932,entropy,4,8,25,best,COMPLETE
58,0.7977638312709049,2024-10-23 06:55:09.956417,2024-10-23 06:55:10.494547,0 days 00:00:00.538130,entropy,4,3,12,random,COMPLETE
59,0.7977638312709049,2024-10-23 06:55:09.966672,2024-10-23 06:55:10.576871,0 days 00:00:00.610199,entropy,4,3,12,random,COMPLETE
60,0.7977638312709049,2024-10-23 06:55:09.974959,2024-10-23 06:55:10.502230,0 days 00:00:00.527271,entropy,4,3,12,random,COMPLETE
