number,value_accuracy,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_splitter,state
0,0.7696758028105757,2024-10-15 17:16:27.894107,2024-10-15 17:16:28.346685,0 days 00:00:00.452578,entropy,7,7,5,random,COMPLETE
1,0.7865534399413775,2024-10-15 17:16:27.899874,2024-10-15 17:16:28.025083,0 days 00:00:00.125209,entropy,1,6,4,best,COMPLETE
2,0.7696758028105757,2024-10-15 17:16:27.906548,2024-10-15 17:16:28.098288,0 days 00:00:00.191740,entropy,4,25,13,random,COMPLETE
3,0.7696758028105757,2024-10-15 17:16:27.918275,2024-10-15 17:16:28.180951,0 days 00:00:00.262676,entropy,7,28,19,random,COMPLETE
4,0.7696758028105757,2024-10-15 17:16:27.930269,2024-10-15 17:16:28.314758,0 days 00:00:00.384489,entropy,6,21,24,random,COMPLETE
5,0.7865534399413775,2024-10-15 17:16:27.955710,2024-10-15 17:16:28.215073,0 days 00:00:00.259363,gini,1,25,6,random,COMPLETE
6,0.7696758028105757,2024-10-15 17:16:27.962311,2024-10-15 17:16:28.056084,0 days 00:00:00.093773,gini,3,23,7,random,COMPLETE
7,0.7696758028105757,2024-10-15 17:16:27.985551,2024-10-15 17:16:28.134284,0 days 00:00:00.148733,gini,10,12,24,random,COMPLETE
8,0.7696758028105757,2024-10-15 17:16:28.003492,2024-10-15 17:16:28.321996,0 days 00:00:00.318504,gini,5,15,21,best,COMPLETE
9,0.7696758028105757,2024-10-15 17:16:28.049960,2024-10-15 17:16:28.518331,0 days 00:00:00.468371,entropy,3,16,27,random,COMPLETE
10,0.7696758028105757,2024-10-15 17:16:28.060245,2024-10-15 17:16:28.288195,0 days 00:00:00.227950,gini,5,16,13,random,COMPLETE
11,0.7696758028105757,2024-10-15 17:16:28.070814,2024-10-15 17:16:28.197880,0 days 00:00:00.127066,gini,4,20,20,random,COMPLETE
12,0.7696758028105757,2024-10-15 17:16:28.135962,2024-10-15 17:16:28.379018,0 days 00:00:00.243056,gini,6,20,22,random,COMPLETE
