number,value_accuracy,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_splitter,state
0,0.8005944994031369,2024-10-23 06:08:40.116868,2024-10-23 06:08:40.461059,0 days 00:00:00.344191,entropy,5,2,9,best,COMPLETE
1,0.7724946518691865,2024-10-23 06:08:40.123258,2024-10-23 06:08:40.353908,0 days 00:00:00.230650,gini,7,14,31,random,COMPLETE
2,0.7711000011819075,2024-10-23 06:08:40.126856,2024-10-23 06:08:40.291153,0 days 00:00:00.164297,gini,9,3,17,random,COMPLETE
3,0.7738893025564656,2024-10-23 06:08:40.135086,2024-10-23 06:08:40.393393,0 days 00:00:00.258307,gini,2,27,19,random,COMPLETE
4,0.7893604699263671,2024-10-23 06:08:40.142729,2024-10-23 06:08:40.546953,0 days 00:00:00.404224,gini,1,5,17,best,COMPLETE
5,0.7893604699263671,2024-10-23 06:08:40.147844,2024-10-23 06:08:40.456585,0 days 00:00:00.308741,entropy,1,18,15,best,COMPLETE
6,0.7893604699263671,2024-10-23 06:08:40.158398,2024-10-23 06:08:40.386926,0 days 00:00:00.228528,entropy,1,24,26,random,COMPLETE
7,0.7711000011819072,2024-10-23 06:08:40.169080,2024-10-23 06:08:40.553991,0 days 00:00:00.384911,entropy,3,21,11,random,COMPLETE
8,0.7767022420782658,2024-10-23 06:08:40.177470,2024-10-23 06:08:40.523754,0 days 00:00:00.346284,entropy,5,29,25,random,COMPLETE
9,0.7711000011819072,2024-10-23 06:08:40.191992,2024-10-23 06:08:40.512115,0 days 00:00:00.320123,entropy,4,32,14,random,COMPLETE
10,0.7767022420782658,2024-10-23 06:08:40.198720,2024-10-23 06:08:40.303154,0 days 00:00:00.104434,gini,9,23,27,random,COMPLETE
11,0.7809216513609663,2024-10-23 06:08:40.263813,2024-10-23 06:08:40.479587,0 days 00:00:00.215774,gini,7,23,25,best,COMPLETE
12,0.7724946518691865,2024-10-23 06:08:40.325924,2024-10-23 06:08:40.544653,0 days 00:00:00.218729,gini,8,14,6,random,COMPLETE
13,0.778108711839166,2024-10-23 06:08:40.428786,2024-10-23 06:08:40.776000,0 days 00:00:00.347214,gini,7,26,26,random,COMPLETE
14,0.7837405004195771,2024-10-23 06:08:40.435570,2024-10-23 06:08:40.668767,0 days 00:00:00.233197,gini,6,2,15,random,COMPLETE
15,0.778108711839166,2024-10-23 06:08:40.445039,2024-10-23 06:08:40.657425,0 days 00:00:00.212386,gini,4,25,10,random,COMPLETE
16,0.7893604699263671,2024-10-23 06:08:40.463586,2024-10-23 06:08:40.704663,0 days 00:00:00.241077,entropy,1,20,25,random,COMPLETE
17,0.7795210911368766,2024-10-23 06:08:40.468950,2024-10-23 06:08:40.758601,0 days 00:00:00.289651,entropy,8,26,7,best,COMPLETE
18,0.7795033625264453,2024-10-23 06:08:40.498881,2024-10-23 06:08:40.725690,0 days 00:00:00.226809,gini,6,9,30,best,COMPLETE
19,0.7738893025564656,2024-10-23 06:08:40.515863,2024-10-23 06:08:40.784004,0 days 00:00:00.268141,entropy,2,9,15,best,COMPLETE
20,0.7851115129596143,2024-10-23 06:08:40.548045,2024-10-23 06:08:41.054994,0 days 00:00:00.506949,entropy,3,1,6,best,COMPLETE
21,0.7949686203595362,2024-10-23 06:08:40.582852,2024-10-23 06:08:40.908108,0 days 00:00:00.325256,entropy,5,1,4,best,COMPLETE
22,0.7949686203595362,2024-10-23 06:08:40.602375,2024-10-23 06:08:41.003029,0 days 00:00:00.400654,entropy,5,1,2,best,COMPLETE
23,0.7949686203595362,2024-10-23 06:08:40.625397,2024-10-23 06:08:40.977943,0 days 00:00:00.352546,entropy,5,1,2,best,COMPLETE
