number,value_accuracy,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_splitter,state
24,0.7752839532437448,2024-10-23 06:08:40.731704,2024-10-23 06:08:41.142031,0 days 00:00:00.410327,entropy,10,7,2,best,COMPLETE
25,0.7978051980285784,2024-10-23 06:08:40.784945,2024-10-23 06:08:41.248309,0 days 00:00:00.463364,entropy,4,6,2,best,COMPLETE
26,0.7978051980285784,2024-10-23 06:08:40.796479,2024-10-23 06:08:41.187219,0 days 00:00:00.390740,entropy,4,6,2,best,COMPLETE
27,0.776690423004645,2024-10-23 06:08:40.798062,2024-10-23 06:08:41.351653,0 days 00:00:00.553591,entropy,10,6,2,best,COMPLETE
28,0.776690423004645,2024-10-23 06:08:40.846904,2024-10-23 06:08:41.541204,0 days 00:00:00.694300,entropy,10,6,2,best,COMPLETE
29,0.7724651041851339,2024-10-23 06:08:40.856924,2024-10-23 06:08:41.461193,0 days 00:00:00.604269,entropy,10,8,2,best,COMPLETE
30,0.7752839532437448,2024-10-23 06:08:40.866411,2024-10-23 06:08:41.662598,0 days 00:00:00.796187,entropy,10,6,21,best,COMPLETE
31,0.776690423004645,2024-10-23 06:08:40.868494,2024-10-23 06:08:41.516297,0 days 00:00:00.647803,entropy,10,6,3,best,COMPLETE
32,0.7963987282676784,2024-10-23 06:08:40.909173,2024-10-23 06:08:41.363533,0 days 00:00:00.454360,entropy,4,7,2,best,COMPLETE
33,0.7978051980285784,2024-10-23 06:08:40.935579,2024-10-23 06:08:41.774058,0 days 00:00:00.838479,entropy,4,6,2,best,COMPLETE
34,0.7978051980285784,2024-10-23 06:08:40.957058,2024-10-23 06:08:41.754285,0 days 00:00:00.797227,entropy,4,6,2,best,COMPLETE
35,0.7753253200014183,2024-10-23 06:08:40.970029,2024-10-23 06:08:41.720743,0 days 00:00:00.750714,entropy,5,6,2,best,COMPLETE
36,0.7753253200014183,2024-10-23 06:08:40.983653,2024-10-23 06:08:41.544324,0 days 00:00:00.560671,entropy,5,6,2,best,COMPLETE
37,0.7978051980285784,2024-10-23 06:08:41.045673,2024-10-23 06:08:41.866777,0 days 00:00:00.821104,entropy,4,6,3,best,COMPLETE
38,0.7978051980285784,2024-10-23 06:08:41.131630,2024-10-23 06:08:41.870833,0 days 00:00:00.739203,entropy,4,6,2,best,COMPLETE
39,0.8034074389249372,2024-10-23 06:08:41.171033,2024-10-23 06:08:41.877320,0 days 00:00:00.706287,entropy,4,5,4,best,COMPLETE
40,0.8047961800754058,2024-10-23 06:08:41.334841,2024-10-23 06:08:42.253030,0 days 00:00:00.918189,entropy,4,10,9,best,COMPLETE
41,0.7949508917491047,2024-10-23 06:08:41.344637,2024-10-23 06:08:42.037075,0 days 00:00:00.692438,entropy,4,11,10,best,COMPLETE
42,0.7795151816000662,2024-10-23 06:08:41.364801,2024-10-23 06:08:42.160663,0 days 00:00:00.795862,entropy,3,13,9,best,COMPLETE
43,0.7795151816000662,2024-10-23 06:08:41.400570,2024-10-23 06:08:42.228086,0 days 00:00:00.827516,entropy,3,13,9,best,COMPLETE
44,0.7795151816000662,2024-10-23 06:08:41.418931,2024-10-23 06:08:42.381017,0 days 00:00:00.962086,entropy,3,12,8,best,COMPLETE
45,0.7851469701804771,2024-10-23 06:08:41.591790,2024-10-23 06:08:42.298669,0 days 00:00:00.706879,entropy,4,12,9,best,COMPLETE
46,0.7949508917491047,2024-10-23 06:08:41.611599,2024-10-23 06:08:42.387975,0 days 00:00:00.776376,entropy,4,11,9,best,COMPLETE
47,0.7949508917491047,2024-10-23 06:08:41.644085,2024-10-23 06:08:42.500467,0 days 00:00:00.856382,entropy,4,11,9,best,COMPLETE
48,0.7949508917491047,2024-10-23 06:08:41.664934,2024-10-23 06:08:42.395448,0 days 00:00:00.730514,entropy,4,11,9,best,COMPLETE
49,0.7795151816000662,2024-10-23 06:08:41.799860,2024-10-23 06:08:42.744091,0 days 00:00:00.944231,entropy,3,11,9,best,COMPLETE
50,0.7808980132137243,2024-10-23 06:08:41.856266,2024-10-23 06:08:42.688744,0 days 00:00:00.832478,entropy,3,4,9,best,COMPLETE
51,0.7795151816000662,2024-10-23 06:08:41.892286,2024-10-23 06:08:42.620758,0 days 00:00:00.728472,entropy,3,13,8,best,COMPLETE
52,0.7795151816000662,2024-10-23 06:08:41.899389,2024-10-23 06:08:42.761059,0 days 00:00:00.861670,entropy,3,13,9,best,COMPLETE
53,0.7795151816000662,2024-10-23 06:08:41.908919,2024-10-23 06:08:42.491471,0 days 00:00:00.582552,entropy,3,11,9,best,COMPLETE
54,0.7795151816000662,2024-10-23 06:08:41.930554,2024-10-23 06:08:42.493721,0 days 00:00:00.563167,entropy,3,11,8,best,COMPLETE
55,0.7795151816000662,2024-10-23 06:08:41.972293,2024-10-23 06:08:42.758909,0 days 00:00:00.786616,entropy,3,11,9,best,COMPLETE
56,0.7808980132137243,2024-10-23 06:08:42.092155,2024-10-23 06:08:42.968822,0 days 00:00:00.876667,entropy,3,4,5,best,COMPLETE
57,0.7921674999113569,2024-10-23 06:08:42.316446,2024-10-23 06:08:43.022673,0 days 00:00:00.706227,entropy,6,4,5,best,COMPLETE
58,0.7921674999113569,2024-10-23 06:08:42.335342,2024-10-23 06:08:42.936198,0 days 00:00:00.600856,entropy,6,4,5,best,COMPLETE
59,0.7921674999113569,2024-10-23 06:08:42.360782,2024-10-23 06:08:43.100049,0 days 00:00:00.739267,entropy,6,4,5,best,COMPLETE
60,0.7893722889999881,2024-10-23 06:08:42.415895,2024-10-23 06:08:43.359495,0 days 00:00:00.943600,gini,6,4,12,best,COMPLETE
61,0.7837818671772506,2024-10-23 06:08:42.417231,2024-10-23 06:08:43.175698,0 days 00:00:00.758467,gini,6,3,12,best,COMPLETE
62,0.7837345908827665,2024-10-23 06:08:42.496165,2024-10-23 06:08:43.497084,0 days 00:00:01.000919,gini,6,4,12,random,COMPLETE
63,0.7949863489699677,2024-10-23 06:08:42.508693,2024-10-23 06:08:43.395350,0 days 00:00:00.886657,gini,6,4,5,best,COMPLETE
64,0.7949863489699677,2024-10-23 06:08:42.534124,2024-10-23 06:08:43.290910,0 days 00:00:00.756786,gini,6,4,5,best,COMPLETE
65,0.7921674999113569,2024-10-23 06:08:42.535932,2024-10-23 06:08:43.430330,0 days 00:00:00.894398,entropy,6,4,5,best,COMPLETE
66,0.7949863489699677,2024-10-23 06:08:42.551389,2024-10-23 06:08:43.498867,0 days 00:00:00.947478,gini,6,4,5,best,COMPLETE
67,0.7795151816000662,2024-10-23 06:08:42.726218,2024-10-23 06:08:43.652371,0 days 00:00:00.926153,gini,6,3,5,random,COMPLETE
68,0.7795151816000662,2024-10-23 06:08:42.777281,2024-10-23 06:08:43.678666,0 days 00:00:00.901385,gini,6,3,5,random,COMPLETE
69,0.7738893025564656,2024-10-23 06:08:42.782094,2024-10-23 06:08:43.644621,0 days 00:00:00.862527,gini,2,3,12,random,COMPLETE
70,0.7795151816000662,2024-10-23 06:08:42.786672,2024-10-23 06:08:43.746361,0 days 00:00:00.959689,gini,6,3,5,random,COMPLETE
71,0.7795151816000662,2024-10-23 06:08:42.794659,2024-10-23 06:08:43.589555,0 days 00:00:00.794896,gini,6,3,5,random,COMPLETE
72,0.7738893025564656,2024-10-23 06:08:42.994206,2024-10-23 06:08:43.831722,0 days 00:00:00.837516,gini,2,3,13,random,COMPLETE
73,0.7837168622723351,2024-10-23 06:08:43.073755,2024-10-23 06:08:43.882858,0 days 00:00:00.809103,gini,5,3,13,random,COMPLETE
74,0.7738893025564656,2024-10-23 06:08:43.077413,2024-10-23 06:08:44.108421,0 days 00:00:01.031008,gini,2,17,12,random,COMPLETE
75,0.7767022420782658,2024-10-23 06:08:43.191589,2024-10-23 06:08:43.921261,0 days 00:00:00.729672,gini,5,9,4,random,COMPLETE
76,0.7738893025564656,2024-10-23 06:08:43.252295,2024-10-23 06:08:44.048920,0 days 00:00:00.796625,gini,2,17,4,random,COMPLETE
77,0.7738893025564656,2024-10-23 06:08:43.387059,2024-10-23 06:08:44.013328,0 days 00:00:00.626269,entropy,2,17,4,random,COMPLETE
78,0.7738893025564656,2024-10-23 06:08:43.491039,2024-10-23 06:08:44.384092,0 days 00:00:00.893053,entropy,2,16,19,random,COMPLETE
79,0.7738893025564656,2024-10-23 06:08:43.511107,2024-10-23 06:08:44.316964,0 days 00:00:00.805857,entropy,2,9,4,random,COMPLETE
80,0.7738893025564656,2024-10-23 06:08:43.521996,2024-10-23 06:08:44.211215,0 days 00:00:00.689219,entropy,2,17,18,random,COMPLETE
81,0.7738893025564656,2024-10-23 06:08:43.564607,2024-10-23 06:08:44.297478,0 days 00:00:00.732871,entropy,2,9,20,random,COMPLETE
82,0.7738893025564656,2024-10-23 06:08:43.571412,2024-10-23 06:08:44.560987,0 days 00:00:00.989575,entropy,2,9,19,random,COMPLETE
83,0.7780968927655451,2024-10-23 06:08:43.685684,2024-10-23 06:08:44.566022,0 days 00:00:00.880338,entropy,5,9,3,best,COMPLETE
84,0.7780968927655451,2024-10-23 06:08:43.708447,2024-10-23 06:08:44.584361,0 days 00:00:00.875914,entropy,5,9,3,best,COMPLETE
85,0.7780968927655451,2024-10-23 06:08:43.716382,2024-10-23 06:08:44.692300,0 days 00:00:00.975918,entropy,5,9,3,best,COMPLETE
86,0.7780968927655451,2024-10-23 06:08:43.731194,2024-10-23 06:08:44.463120,0 days 00:00:00.731926,entropy,5,9,3,best,COMPLETE
87,0.778108711839166,2024-10-23 06:08:43.782144,2024-10-23 06:08:44.805928,0 days 00:00:01.023784,entropy,5,17,3,best,COMPLETE
88,0.7780968927655451,2024-10-23 06:08:43.912327,2024-10-23 06:08:44.761234,0 days 00:00:00.848907,entropy,5,9,3,best,COMPLETE
89,0.778108711839166,2024-10-23 06:08:43.938585,2024-10-23 06:08:44.856187,0 days 00:00:00.917602,entropy,4,16,3,best,COMPLETE
90,0.778108711839166,2024-10-23 06:08:43.970283,2024-10-23 06:08:44.998748,0 days 00:00:01.028465,entropy,4,16,3,best,COMPLETE
91,0.8047961800754058,2024-10-23 06:08:44.083419,2024-10-23 06:08:44.960865,0 days 00:00:00.877446,entropy,4,8,3,best,COMPLETE
92,0.8047961800754058,2024-10-23 06:08:44.135889,2024-10-23 06:08:45.081187,0 days 00:00:00.945298,entropy,4,8,17,best,COMPLETE
93,0.8047961800754058,2024-10-23 06:08:44.158488,2024-10-23 06:08:44.980794,0 days 00:00:00.822306,entropy,4,8,18,best,COMPLETE
94,0.8047961800754058,2024-10-23 06:08:44.278901,2024-10-23 06:08:45.224416,0 days 00:00:00.945515,entropy,4,8,3,best,COMPLETE
95,0.7963987282676784,2024-10-23 06:08:44.345995,2024-10-23 06:08:45.176458,0 days 00:00:00.830463,entropy,4,7,3,best,COMPLETE
96,0.7963987282676784,2024-10-23 06:08:44.370423,2024-10-23 06:08:45.127122,0 days 00:00:00.756699,entropy,4,7,3,best,COMPLETE
97,0.7963987282676784,2024-10-23 06:08:44.495973,2024-10-23 06:08:45.237903,0 days 00:00:00.741930,entropy,4,7,3,best,COMPLETE
98,0.7963987282676784,2024-10-23 06:08:44.588225,2024-10-23 06:08:45.123839,0 days 00:00:00.535614,entropy,4,7,3,best,COMPLETE
99,0.7963987282676784,2024-10-23 06:08:44.604051,2024-10-23 06:08:45.231993,0 days 00:00:00.627942,entropy,4,7,3,best,COMPLETE
